side,entry_minute,entry_improve_cents,ttl_minutes,tp_cents,stop_minute,stop_exit_ttl_minutes,stop_exit_improve_cents,max_entry_spread_cents,max_stop_spread_cents,fallback,attempts,fills,fill_rate,exits,exit_rate_given_fill,mean_entry_px_filled,mean_fill_minute,win_rate_given_fill,mean_settle_pnl_cents_per_fill,mean_pnl_cents_per_attempt,mean_pnl_cents_per_fill,ev_cents_per_hour_per_contract
NO,9,1,1,2,10,2,0,20,30,taker_exit,562,333,0.5925266903914591,332,0.996996996996997,39.966966966966964,9,0.39039039039039036,-0.9279279279279279,-3.106761565836299,-5.243243243243243,-12.427046263345195
NO,9,0,1,0,13,1,1,30,30,taker_exit,581,303,0.5215146299483648,298,0.9834983498349835,39.26732673267327,9,0.36633663366336633,-2.633663366336634,-3.108433734939759,-5.96039603960396,-12.433734939759036
NO,9,1,1,0,13,2,0,40,40,taker_exit,589,336,0.5704584040747029,332,0.9880952380952381,40.083333333333336,9,0.3898809523809524,-1.0952380952380953,-3.108658743633277,-5.449404761904762,-12.434634974533108
NO,9,1,1,3,10,2,0,20,20,taker_exit,562,333,0.5925266903914591,329,0.987987987987988,39.966966966966964,9,0.39039039039039036,-0.9279279279279279,-3.1156583629893237,-5.258258258258258,-12.462633451957295
NO,10,0,1,2,10,1,1,20,40,taker_exit,561,297,0.5294117647058824,297,1.0,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-3.1158645276292334,-5.885521885521886,-12.463458110516934
NO,10,0,1,2,11,1,1,20,40,taker_exit,561,297,0.5294117647058824,297,1.0,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-3.1158645276292334,-5.885521885521886,-12.463458110516934
NO,10,0,1,2,10,1,1,20,30,taker_exit,561,297,0.5294117647058824,297,1.0,40.55892255892256,10,0.39057239057239057,-1.5016835016835017,-3.1158645276292334,-5.885521885521886,-12.463458110516934
NO,8,2,1,3,13,2,1,40,30,taker_exit,590,363,0.6152542372881356,360,0.9917355371900827,45.892561983471076,8,0.4490358126721763,-0.9889807162534435,-3.1203389830508477,-5.071625344352617,-12.48135593220339
NO,8,2,1,3,13,2,0,40,20,taker_exit,590,363,0.6152542372881356,359,0.9889807162534435,45.892561983471076,8,0.4490358126721763,-0.9889807162534435,-3.1254237288135593,-5.079889807162535,-12.501694915254237
NO,10,0,1,1,11,1,1,40,20,taker_exit,585,300,0.5128205128205128,296,0.9866666666666667,40.68666666666667,10,0.38666666666666666,-2.02,-3.1264957264957265,-6.096666666666667,-12.505982905982906
NO,8,0,1,0,12,2,2,40,30,taker_exit,590,297,0.5033898305084745,297,1.0,44.68350168350168,8,0.43097643097643096,-1.5858585858585859,-3.128813559322034,-6.215488215488215,-12.515254237288136
NO,8,2,1,2,13,2,1,40,20,taker_exit,590,363,0.6152542372881356,358,0.9862258953168044,45.892561983471076,8,0.4490358126721763,-0.9889807162534435,-3.1389830508474574,-5.101928374655647,-12.55593220338983
NO,9,2,1,0,12,1,2,40,20,taker_exit,589,357,0.6061120543293718,350,0.9803921568627451,41.0812324929972,9,0.4005602240896359,-1.0252100840336134,-3.140916808149406,-5.182072829131653,-12.563667232597624
NO,9,1,1,1,13,1,0,40,40,taker_exit,589,336,0.5704584040747029,336,1.0,40.083333333333336,9,0.3898809523809524,-1.0952380952380953,-3.1426146010186757,-5.508928571428571,-12.570458404074703
NO,9,1,1,1,13,1,0,20,30,taker_exit,562,333,0.5925266903914591,333,1.0,39.966966966966964,9,0.39039039039039036,-0.9279279279279279,-3.1441281138790034,-5.306306306306307,-12.576512455516013
NO,9,2,1,2,10,2,2,40,20,taker_exit,589,357,0.6061120543293718,352,0.9859943977591037,41.0812324929972,9,0.4005602240896359,-1.0252100840336134,-3.1443123938879456,-5.187675070028011,-12.577249575551782
NO,9,1,1,1,12,1,1,20,40,taker_exit,562,333,0.5925266903914591,333,1.0,39.966966966966964,9,0.39039039039039036,-0.9279279279279279,-3.1459074733096086,-5.3093093093093096,-12.583629893238435
